순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,김태연,한화,0.324,89,342,293,49,95,20,0,11,148,52,4,4,37,0,4,59,5,0.505,0.402,0.907,27,0.3,0.0
2,황영묵,한화,0.310,83,263,242,37,75,7,3,3,97,29,2,1,15,0,3,35,4,0.401,0.356,0.757,20,0.324,0.0
3,안치홍,한화,0.306,102,434,385,56,118,16,0,10,164,55,0,4,39,1,6,60,5,0.426,0.376,0.802,38,0.316,0.0
4,이재원,한화,0.299,47,99,87,5,26,2,0,0,28,10,2,3,5,1,2,14,2,0.322,0.340,0.662,5,0.348,0.0
5,페라자,한화,0.291,86,386,340,62,99,23,0,18,176,57,0,2,43,4,1,93,4,0.518,0.370,0.888,29,0.321,0.333
6,김인환,한화,0.288,18,56,52,7,15,0,0,1,18,5,0,0,3,0,1,10,1,0.346,0.339,0.685,5,0.333,0.25
7,박상언,한화,0.286,27,52,42,4,12,3,0,0,15,4,0,0,9,0,1,12,0,0.357,0.423,0.780,2,0.364,0.25
8,하주석,한화,0.283,44,116,106,9,30,8,0,1,41,10,2,0,7,0,1,26,0,0.387,0.333,0.720,7,0.368,0.2
9,노시환,한화,0.281,96,435,388,70,109,13,1,20,184,73,0,1,38,7,8,92,5,0.474,0.356,0.830,27,0.315,0.0
10,최재훈,한화,0.277,83,260,202,29,56,10,0,3,75,29,6,4,28,0,20,37,7,0.371,0.409,0.780,12,0.27,1.0
11,최인호,한화,0.268,75,215,183,30,49,11,2,1,67,17,4,2,23,0,3,30,3,0.366,0.355,0.721,8,0.297,0.294
12,이도윤,한화,0.263,96,266,236,34,62,5,2,0,71,32,4,3,21,0,2,37,4,0.301,0.324,0.625,16,0.356,0.4
13,채은성,한화,0.257,85,356,323,42,83,18,0,14,143,66,0,2,27,1,4,64,7,0.443,0.320,0.763,22,0.28,0.0
14,이원석,한화,0.250,62,128,112,21,28,4,1,0,34,11,1,1,13,0,1,28,3,0.304,0.331,0.635,6,0.269,0.0
15,문현빈,한화,0.244,73,200,180,21,44,8,2,4,68,24,1,1,17,0,1,42,7,0.378,0.312,0.690,9,0.25,0.227
16,장진혁,한화,0.231,58,185,160,37,37,7,0,4,56,22,4,1,18,0,2,47,3,0.350,0.315,0.665,7,0.255,0.0
17,김강민,한화,0.224,41,87,76,5,17,0,0,1,20,7,0,0,8,0,3,21,1,0.263,0.322,0.585,4,0.2,0.182
18,유로결,한화,0.214,8,16,14,3,3,0,0,0,3,1,0,0,2,0,0,2,1,0.214,0.313,0.527,0,0.167,0.0
19,이진영,한화,0.200,23,63,55,9,11,4,0,0,15,8,0,0,6,0,2,18,1,0.273,0.302,0.575,3,0.294,0.5
20,정은원,한화,0.172,27,78,64,10,11,3,1,1,19,6,1,0,13,0,0,16,0,0.297,0.312,0.609,2,0.2,0.25
21,이상혁,한화,0.167,26,7,6,9,1,0,0,0,1,0,0,0,1,0,0,1,0,0.167,0.286,0.453,0,0.0,0.333
22,임종찬,한화,0.158,24,64,57,10,9,3,2,0,16,7,0,0,6,0,1,19,2,0.281,0.250,0.531,2,0.19,0.0
23,김서현,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,박상원,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,이명기,한화,0.000,4,8,7,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0.000,0.000,0.000,0,0.0,0.0
23,장규현,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,주현상,한화,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
