순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,안치홍,한화,0.306,114,485,428,60,131,16,0,12,183,59,1,4,46,1,6,65,7,0.428,0.378,0.806,41,0.306,0.0
2,황영묵,한화,0.301,104,337,309,46,93,7,4,3,117,32,3,1,20,0,4,45,4,0.379,0.350,0.729,24,0.321,0.0
3,하주석,한화,0.301,50,124,113,13,34,9,0,1,46,10,2,0,7,0,2,27,0,0.407,0.352,0.759,8,0.333,0.375
4,김태연,한화,0.300,110,427,370,55,111,23,0,11,167,59,6,4,43,0,4,76,8,0.451,0.375,0.826,31,0.31,0.0
5,페라자,한화,0.290,106,473,414,74,120,24,0,23,213,65,0,2,55,4,2,118,5,0.514,0.374,0.888,33,0.305,0.333
6,박상언,한화,0.286,27,52,42,4,12,3,0,0,15,4,0,0,9,0,1,12,0,0.357,0.423,0.780,2,0.364,0.25
7,장진혁,한화,0.280,79,267,236,50,66,13,0,9,106,41,5,1,23,0,2,58,6,0.449,0.347,0.796,17,0.344,0.25
8,노시환,한화,0.279,117,527,463,87,129,17,2,24,222,83,0,3,51,7,10,112,7,0.479,0.361,0.840,32,0.301,0.0
9,이도윤,한화,0.278,115,325,291,40,81,8,3,1,98,41,5,3,23,0,3,45,4,0.337,0.334,0.671,21,0.344,0.333
10,채은성,한화,0.272,104,430,383,54,104,22,0,18,180,77,0,3,38,1,6,73,11,0.470,0.344,0.814,27,0.284,0.0
11,최인호,한화,0.268,75,215,183,30,49,11,2,1,67,17,4,2,23,0,3,30,3,0.366,0.355,0.721,8,0.297,0.294
12,문현빈,한화,0.263,85,227,205,25,54,12,2,5,85,34,1,1,19,0,1,45,7,0.415,0.327,0.742,11,0.294,0.25
13,이재원,한화,0.261,60,130,115,7,30,4,0,0,34,13,2,4,6,1,3,15,3,0.296,0.305,0.601,5,0.323,0.0
14,최재훈,한화,0.254,100,310,244,31,62,10,0,4,84,34,7,6,32,0,21,50,9,0.344,0.380,0.724,12,0.247,1.0
15,이원석,한화,0.233,82,154,133,24,31,4,1,0,37,13,2,1,16,0,2,32,3,0.278,0.322,0.600,6,0.265,0.333
16,김인환,한화,0.224,37,116,107,10,24,1,0,1,28,7,0,0,8,0,1,28,3,0.262,0.284,0.546,6,0.222,0.125
17,김강민,한화,0.224,41,87,76,5,17,0,0,1,20,7,0,0,8,0,3,21,1,0.263,0.322,0.585,4,0.2,0.182
18,유로결,한화,0.217,17,26,23,6,5,1,0,0,6,3,0,0,3,0,0,8,1,0.261,0.308,0.569,0,0.111,0.0
19,이진영,한화,0.190,25,67,58,9,11,4,0,0,15,8,0,0,7,0,2,18,1,0.259,0.299,0.558,3,0.263,0.5
20,정은원,한화,0.172,27,78,64,10,11,3,1,1,19,6,1,0,13,0,0,16,0,0.297,0.312,0.609,2,0.2,0.25
21,임종찬,한화,0.158,24,64,57,10,9,3,2,0,16,7,0,0,6,0,1,19,2,0.281,0.250,0.531,2,0.19,0.0
22,이상혁,한화,0.125,35,9,8,12,1,0,0,0,1,0,0,0,1,0,0,2,0,0.125,0.222,0.347,0,0.0,0.333
23,김서현,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,박상원,한화,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,이명기,한화,0.000,4,8,7,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0.000,0.000,0.000,0,0.0,0.0
23,장규현,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,주현상,한화,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
