순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,최재훈,hanwha,포수,104,721.2,0.764,8.53
2,황영묵,hanwha,2루수,69,461.0,0.743,8.29
3,이도윤,hanwha,유격수,99,698.0,0.651,7.26
4,이원석,hanwha,중견수,40,219.0,0.435,4.85
5,안치홍,hanwha,2루수,26,195.0,0.415,4.63
6,최인호,hanwha,좌익수,60,383.2,0.398,4.44
7,유로결,hanwha,우익수,10,26.1,0.236,2.63
8,김강민,hanwha,중견수,31,153.1,0.22,2.46
9,이진영,hanwha,중견수,20,110.0,0.211,2.35
10,이재원,hanwha,포수,60,302.0,0.197,2.19
11,장진혁,hanwha,우익수,14,45.1,0.176,1.97
12,임종찬,hanwha,우익수,13,33.0,0.139,1.55
13,문현빈,hanwha,3루수,6,33.0,0.132,1.47
14,박상언,hanwha,포수,26,113.0,0.124,1.38
15,이도윤,hanwha,2루수,20,89.0,0.098,1.09
16,정은원,hanwha,좌익수,10,70.0,0.079,0.89
17,페라자,hanwha,중견수,2,9.0,0.061,0.69
18,김인환,hanwha,1루수,8,48.0,0.034,0.38
19,장규현,hanwha,포수,3,7.0,0.026,0.29
20,한경빈,hanwha,유격수,1,2.0,0.023,0.25
21,유로결,hanwha,좌익수,7,30.0,0.014,0.16
22,정은원,hanwha,중견수,6,46.0,0.006,0.06
23,권광민,hanwha,1루수,1,2.0,0.005,0.06
24,권광민,hanwha,우익수,1,1.0,-0.001,-0.01
25,하주석,hanwha,1루수,1,1.0,-0.002,-0.02
26,문현빈,hanwha,유격수,1,2.0,-0.003,-0.03
27,이진영,hanwha,좌익수,3,9.2,-0.004,-0.04
28,이상혁,hanwha,좌익수,4,7.0,-0.006,-0.07
28,정은원,hanwha,2루수,4,31.0,-0.006,-0.07
30,이상혁,hanwha,우익수,8,12.0,-0.009,-0.1
30,유로결,hanwha,중견수,2,18.0,-0.009,-0.1
32,이상혁,hanwha,중견수,3,7.0,-0.01,-0.11
33,채은성,hanwha,우익수,23,181.0,-0.027,-0.3
34,장진혁,hanwha,중견수,61,475.1,-0.048,-0.54
35,장진혁,hanwha,좌익수,18,84.0,-0.061,-0.68
36,이원석,hanwha,우익수,14,40.0,-0.087,-0.97
37,이진영,hanwha,우익수,7,22.0,-0.102,-1.14
38,페라자,hanwha,우익수,38,303.0,-0.107,-1.19
39,하주석,hanwha,3루수,8,52.1,-0.13,-1.45
40,이원석,hanwha,좌익수,21,77.2,-0.212,-2.37
41,김태연,hanwha,2루수,6,30.2,-0.222,-2.47
42,임종찬,hanwha,중견수,16,105.0,-0.23,-2.57
43,페라자,hanwha,좌익수,51,328.1,-0.276,-3.08
44,황영묵,hanwha,유격수,42,257.0,-0.314,-3.5
45,문현빈,hanwha,2루수,53,337.0,-0.335,-3.74
46,하주석,hanwha,유격수,34,184.2,-0.354,-3.95
47,노시환,hanwha,3루수,121,1053.1,-0.471,-5.25
48,김태연,hanwha,1루수,44,290.1,-0.654,-7.29
49,채은성,hanwha,1루수,62,509.1,-0.726,-8.11
50,안치홍,hanwha,1루수,37,293.0,-0.752,-8.39
51,김인환,hanwha,좌익수,25,152.1,-0.83,-9.26
52,김태연,hanwha,우익수,63,480.0,-0.86,-9.6
60,이명기,hanwha,중견수,1,1.0,nan,nan
60,주현상,hanwha,투수,56,64.2,nan,nan
60,이도윤,hanwha,3루수,2,2.0,nan,nan
60,박상원,hanwha,투수,56,57.0,nan,nan
60,김서현,hanwha,투수,29,29.1,nan,nan
60,이명기,hanwha,좌익수,1,1.0,nan,nan
60,황영묵,hanwha,3루수,3,3.0,nan,nan
