순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,황영묵,한화,0.303,99,326,300,44,91,7,4,3,115,31,3,1,18,0,4,44,4,0.383,0.350,0.733,24,0.325,0.0
2,김태연,한화,0.303,105,409,353,52,107,23,0,11,163,58,5,4,43,0,4,73,7,0.462,0.381,0.843,30,0.317,0.0
3,안치홍,한화,0.300,109,461,406,59,122,16,0,12,174,58,1,4,44,1,6,62,6,0.429,0.374,0.803,38,0.304,0.0
4,하주석,한화,0.291,48,120,110,10,32,8,0,1,43,10,2,0,7,0,1,27,0,0.391,0.339,0.730,7,0.35,0.286
5,페라자,한화,0.286,101,451,398,72,114,24,0,23,207,64,0,2,49,4,2,115,4,0.520,0.366,0.886,32,0.301,0.333
6,박상언,한화,0.286,27,52,42,4,12,3,0,0,15,4,0,0,9,0,1,12,0,0.357,0.423,0.780,2,0.364,0.25
7,노시환,한화,0.279,112,503,444,83,124,17,1,23,212,78,0,2,48,7,9,108,5,0.477,0.360,0.837,31,0.299,0.0
8,채은성,한화,0.274,99,410,368,49,101,22,0,17,174,73,0,3,34,1,5,70,10,0.473,0.341,0.814,27,0.276,0.0
9,이도윤,한화,0.274,110,308,277,38,76,8,3,1,93,39,5,3,21,0,2,40,4,0.336,0.327,0.663,20,0.353,0.333
10,최인호,한화,0.268,75,215,183,30,49,11,2,1,67,17,4,2,23,0,3,30,3,0.366,0.355,0.721,8,0.297,0.294
11,장진혁,한화,0.264,74,246,216,46,57,10,0,9,94,37,5,1,22,0,2,53,5,0.435,0.336,0.771,14,0.322,0.25
12,이재원,한화,0.259,58,127,112,7,29,4,0,0,33,12,2,4,6,1,3,15,3,0.295,0.304,0.599,5,0.3,0.0
13,최재훈,한화,0.258,95,293,229,30,59,10,0,4,81,33,6,6,31,0,21,45,8,0.354,0.387,0.741,12,0.247,1.0
14,문현빈,한화,0.251,81,213,191,21,48,10,2,4,74,26,1,1,19,0,1,44,7,0.387,0.321,0.708,9,0.254,0.259
15,유로결,한화,0.235,12,19,17,6,4,1,0,0,5,3,0,0,2,0,0,3,1,0.294,0.316,0.610,0,0.125,0.0
16,이원석,한화,0.233,77,154,133,23,31,4,1,0,37,13,2,1,16,0,2,32,3,0.278,0.322,0.600,6,0.265,0.333
17,김인환,한화,0.228,34,110,101,10,23,1,0,1,27,7,0,0,8,0,1,27,3,0.267,0.291,0.558,6,0.25,0.2
18,김강민,한화,0.224,41,87,76,5,17,0,0,1,20,7,0,0,8,0,3,21,1,0.263,0.322,0.585,4,0.2,0.182
19,이진영,한화,0.190,25,67,58,9,11,4,0,0,15,8,0,0,7,0,2,18,1,0.259,0.299,0.558,3,0.263,0.5
20,정은원,한화,0.172,27,78,64,10,11,3,1,1,19,6,1,0,13,0,0,16,0,0.297,0.312,0.609,2,0.2,0.25
21,임종찬,한화,0.158,24,64,57,10,9,3,2,0,16,7,0,0,6,0,1,19,2,0.281,0.250,0.531,2,0.19,0.0
22,이상혁,한화,0.125,35,9,8,12,1,0,0,0,1,0,0,0,1,0,0,2,0,0.125,0.222,0.347,0,0.0,0.333
23,김서현,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,박상원,한화,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,이명기,한화,0.000,4,8,7,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0.000,0.000,0.000,0,0.0,0.0
23,장규현,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
23,주현상,한화,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
