순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,박찬호,KIA,유격수,130,1105.1,1.865,20.95
2,김태군,KIA,포수,99,631.2,0.954,10.72
3,김호령,KIA,중견수,58,159.0,0.54,6.06
4,한준수,KIA,포수,100,590.1,0.448,5.03
5,소크라테스,KIA,중견수,52,366.2,0.35,3.93
6,서건창,KIA,2루수,33,156.0,0.301,3.38
7,박정우,KIA,좌익수,17,30.1,0.266,2.99
8,박민,KIA,유격수,10,40.0,0.19,2.13
9,변우혁,KIA,3루수,14,70.0,0.155,1.74
10,박정우,KIA,중견수,46,112.1,0.149,1.67
11,윤도현,KIA,2루수,2,15.0,0.133,1.5
12,윤도현,KIA,3루수,1,9.0,0.069,0.77
13,이창진,KIA,중견수,1,5.0,0.049,0.55
14,최정용,KIA,2루수,2,11.0,0.038,0.42
15,이우성,KIA,좌익수,8,33.0,0.036,0.4
16,김규성,KIA,1루수,9,13.0,0.01,0.11
17,윤도현,KIA,유격수,1,3.0,0.003,0.03
18,박정우,KIA,투수,1,1.0,0.0,0.0
19,홍종표,KIA,좌익수,1,2.0,-0.001,-0.01
20,홍종표,KIA,유격수,17,81.0,-0.004,-0.05
21,김도영,KIA,유격수,1,2.0,-0.016,-0.18
22,박정우,KIA,우익수,6,24.0,-0.021,-0.24
23,김선빈,KIA,3루수,2,4.0,-0.024,-0.27
24,소크라테스,KIA,우익수,4,11.0,-0.031,-0.35
25,황대인,KIA,1루수,2,10.0,-0.044,-0.5
26,김규성,KIA,유격수,9,20.2,-0.07,-0.78
27,김도영,KIA,3루수,133,1104.0,-0.072,-0.8
28,고종욱,KIA,좌익수,8,25.0,-0.091,-1.02
29,홍종표,KIA,2루수,65,167.0,-0.097,-1.09
30,최원준,KIA,우익수,94,392.0,-0.098,-1.1
31,김규성,KIA,3루수,6,18.0,-0.107,-1.2
32,박민,KIA,2루수,4,28.0,-0.14,-1.57
33,김두현,KIA,유격수,1,7.0,-0.163,-1.83
34,이우성,KIA,우익수,24,157.0,-0.199,-2.23
35,홍종표,KIA,3루수,15,52.0,-0.218,-2.45
36,한승택,KIA,포수,16,40.0,-0.237,-2.66
37,이창진,KIA,좌익수,54,299.1,-0.269,-3.02
38,이창진,KIA,우익수,37,173.0,-0.283,-3.18
39,최원준,KIA,중견수,92,619.0,-0.45,-5.05
40,최형우,KIA,좌익수,16,117.0,-0.47,-5.28
41,김선빈,KIA,2루수,115,884.0,-0.507,-5.69
42,변우혁,KIA,1루수,51,302.0,-0.529,-5.95
43,서건창,KIA,1루수,50,275.2,-0.541,-6.08
44,나성범,KIA,우익수,67,505.0,-0.593,-6.66
45,소크라테스,KIA,좌익수,115,755.1,-0.856,-9.61
46,이우성,KIA,1루수,85,659.1,-1.425,-16.01
61,최원준,KIA,1루수,1,1.0,nan,nan
61,김규성,KIA,2루수,1,1.0,nan,nan
61,전상현,KIA,투수,65,65.0,nan,nan
61,김선빈,KIA,1루수,1,1.0,nan,nan
61,김승현,KIA,투수,14,18.0,nan,nan
61,박민,KIA,3루수,3,4.0,nan,nan
61,황동하,KIA,투수,24,98.1,nan,nan
61,김선빈,KIA,유격수,2,3.0,nan,nan
61,정해영,KIA,투수,51,48.2,nan,nan
61,이형범,KIA,투수,14,15.0,nan,nan
61,최정용,KIA,3루수,1,1.0,nan,nan
61,최지민,KIA,투수,52,43.2,nan,nan
61,김사윤,KIA,투수,23,37.0,nan,nan
61,곽도규,KIA,투수,67,55.2,nan,nan
