포지션,선수명
투수,박치국
투수,시라카와
투수,박정수
투수,홍건희
투수,김강률
투수,최승용
투수,이병헌
투수,권휘
투수,최지강
투수,발라조빅
투수,곽빈
투수,최원준
투수,김택연
투수,정철원
포수,양의지
포수,김기연
내야수,전민재
내야수,서예일
내야수,강승호
내야수,김재호
내야수,양석환
내야수,이유찬
외야수,정수빈
외야수,김재환
외야수,홍성호
외야수,조수행
외야수,김태근
외야수,제러드
