순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,송성문,kiwoom,3루수,68,518.2,1.253,13.61
2,김혜성,kiwoom,2루수,82,701.2,1.155,12.55
3,김태진,kiwoom,유격수,28,170.1,0.955,10.37
4,김재현,kiwoom,포수,81,576.1,0.526,5.71
5,이주형,kiwoom,우익수,44,342.1,0.396,4.3
6,송성문,kiwoom,2루수,13,103.2,0.354,3.84
7,김휘집,kiwoom,유격수,44,338.1,0.338,3.67
8,변상권,kiwoom,우익수,9,51.2,0.279,3.03
9,김건희,kiwoom,포수,39,226.1,0.239,2.6
10,변상권,kiwoom,좌익수,14,93.0,0.163,1.77
11,김태진,kiwoom,좌익수,8,35.0,0.157,1.71
12,이용규,kiwoom,우익수,13,94.0,0.112,1.21
13,고영우,kiwoom,2루수,9,43.0,0.085,0.92
14,김주형,kiwoom,유격수,16,56.2,0.07,0.76
15,원성준,kiwoom,좌익수,3,13.0,0.064,0.69
16,김시앙,kiwoom,포수,6,19.1,0.058,0.63
17,이용규,kiwoom,중견수,24,155.1,0.043,0.47
18,임병욱,kiwoom,우익수,4,11.0,0.042,0.45
19,김태진,kiwoom,2루수,6,19.0,0.041,0.45
20,박주홍,kiwoom,우익수,2,6.0,0.038,0.41
20,주성원,kiwoom,좌익수,3,18.2,0.038,0.41
22,박성빈,kiwoom,포수,6,27.0,0.036,0.39
23,김휘집,kiwoom,3루수,9,53.0,0.035,0.38
24,주성원,kiwoom,우익수,14,76.0,0.03,0.33
25,김주형,kiwoom,2루수,2,3.0,0.009,0.09
26,송지후,kiwoom,2루수,1,3.0,-0.005,-0.05
27,이승원,kiwoom,유격수,3,18.0,-0.029,-0.31
27,이용규,kiwoom,좌익수,19,143.2,-0.029,-0.31
29,김태진,kiwoom,우익수,2,6.0,-0.031,-0.33
30,예진원,kiwoom,좌익수,6,19.0,-0.044,-0.48
31,임병욱,kiwoom,중견수,16,83.0,-0.046,-0.5
32,이주형,kiwoom,중견수,12,67.2,-0.057,-0.62
33,임병욱,kiwoom,좌익수,1,9.0,-0.058,-0.63
34,도슨,kiwoom,좌익수,63,495.0,-0.083,-0.9
35,박수종,kiwoom,좌익수,4,4.0,-0.093,-1.01
36,이형종,kiwoom,우익수,26,193.2,-0.102,-1.11
37,박준형,kiwoom,포수,4,12.1,-0.124,-1.35
38,박수종,kiwoom,우익수,7,12.0,-0.128,-1.4
39,도슨,kiwoom,중견수,25,185.2,-0.13,-1.41
40,고영우,kiwoom,유격수,14,67.0,-0.134,-1.45
41,김동헌,kiwoom,포수,2,14.0,-0.144,-1.56
42,임지열,kiwoom,좌익수,8,39.0,-0.145,-1.57
43,이주형,kiwoom,좌익수,1,4.0,-0.163,-1.77
44,박수종,kiwoom,중견수,36,169.1,-0.172,-1.87
45,최주환,kiwoom,1루수,83,689.1,-0.203,-2.21
46,예진원,kiwoom,중견수,11,23.0,-0.207,-2.25
47,예진원,kiwoom,우익수,5,16.2,-0.21,-2.28
48,장재영,kiwoom,중견수,17,126.1,-0.237,-2.58
48,송성문,kiwoom,1루수,22,99.0,-0.237,-2.58
50,임지열,kiwoom,우익수,9,66.0,-0.275,-2.98
51,이원석,kiwoom,1루수,12,87.0,-0.294,-3.19
52,원성준,kiwoom,중견수,10,65.0,-0.325,-3.53
53,이재상,kiwoom,유격수,35,221.0,-0.603,-6.55
54,고영우,kiwoom,3루수,47,302.2,-0.68,-7.39
67,김연주,kiwoom,투수,15,13.1,nan,nan
67,박주홍,kiwoom,좌익수,2,2.0,nan,nan
67,문성현,kiwoom,투수,36,33.1,nan,nan
67,신준우,kiwoom,유격수,1,1.0,nan,nan
67,주승우,kiwoom,투수,37,33.2,nan,nan
67,양지율,kiwoom,투수,11,11.2,nan,nan
67,김윤하,kiwoom,투수,10,27.1,nan,nan
67,김병휘,kiwoom,2루수,2,2.0,nan,nan
67,김선기,kiwoom,투수,22,49.0,nan,nan
67,김주형,kiwoom,3루수,1,1.0,nan,nan
67,김재웅,kiwoom,투수,26,23.2,nan,nan
67,김병휘,kiwoom,유격수,2,3.0,nan,nan
