순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,김혜성,kiwoom,2루수,108,922.2,2.305,25.72
2,김태진,kiwoom,유격수,49,284.1,0.914,10.2
3,김재현,kiwoom,포수,103,723.2,0.72,8.04
4,송성문,kiwoom,3루수,84,660.2,0.636,7.1
5,송성문,kiwoom,2루수,19,151.2,0.371,4.14
6,김휘집,kiwoom,유격수,44,338.1,0.295,3.29
7,변상권,kiwoom,우익수,9,51.2,0.275,3.07
8,변상권,kiwoom,좌익수,35,270.0,0.238,2.66
9,김건희,kiwoom,포수,57,355.0,0.202,2.25
10,김태진,kiwoom,좌익수,8,35.0,0.16,1.79
11,원성준,kiwoom,좌익수,5,16.0,0.158,1.76
12,임병욱,kiwoom,우익수,12,74.0,0.155,1.73
13,이주형,kiwoom,중견수,37,260.2,0.138,1.54
14,박주홍,kiwoom,좌익수,10,61.0,0.12,1.34
15,이용규,kiwoom,우익수,13,94.0,0.117,1.3
16,주성원,kiwoom,우익수,16,93.0,0.103,1.15
17,고영우,kiwoom,2루수,10,45.0,0.08,0.89
18,김주형,kiwoom,유격수,16,56.2,0.067,0.75
19,김시앙,kiwoom,포수,6,19.1,0.05,0.56
20,김태진,kiwoom,2루수,9,23.0,0.046,0.51
21,박주홍,kiwoom,우익수,4,9.0,0.045,0.5
22,김휘집,kiwoom,3루수,9,53.0,0.029,0.32
23,김주형,kiwoom,2루수,5,11.0,0.025,0.28
24,박주홍,kiwoom,1루수,3,10.0,0.013,0.14
25,박수종,kiwoom,좌익수,10,30.0,0.01,0.11
26,도슨,kiwoom,좌익수,63,495.0,0.007,0.08
27,송지후,kiwoom,2루수,1,3.0,-0.005,-0.05
28,박수종,kiwoom,중견수,51,220.1,-0.008,-0.09
29,김병휘,kiwoom,2루수,3,3.0,-0.012,-0.14
30,주성원,kiwoom,좌익수,4,21.2,-0.028,-0.31
30,이형종,kiwoom,우익수,29,218.2,-0.028,-0.31
32,원성준,kiwoom,우익수,7,41.0,-0.029,-0.33
33,김태진,kiwoom,우익수,2,6.0,-0.03,-0.34
34,박성빈,kiwoom,포수,10,35.0,-0.031,-0.34
35,예진원,kiwoom,좌익수,6,19.0,-0.04,-0.44
36,이주형,kiwoom,우익수,56,421.1,-0.045,-0.5
37,임병욱,kiwoom,좌익수,1,9.0,-0.055,-0.62
38,장재영,kiwoom,우익수,7,54.0,-0.075,-0.84
39,이용규,kiwoom,좌익수,21,159.2,-0.091,-1.01
40,김병휘,kiwoom,유격수,16,95.0,-0.1,-1.12
41,도슨,kiwoom,중견수,25,185.2,-0.115,-1.29
42,박준형,kiwoom,포수,4,12.1,-0.116,-1.3
43,고영우,kiwoom,유격수,14,67.0,-0.13,-1.45
44,임지열,kiwoom,좌익수,8,39.0,-0.134,-1.49
45,김동헌,kiwoom,포수,2,14.0,-0.135,-1.5
46,임병욱,kiwoom,중견수,20,107.0,-0.138,-1.54
47,이용규,kiwoom,중견수,26,171.1,-0.153,-1.71
48,이주형,kiwoom,좌익수,1,4.0,-0.158,-1.77
49,박수종,kiwoom,우익수,8,14.0,-0.166,-1.85
50,예진원,kiwoom,중견수,11,23.0,-0.199,-2.22
51,예진원,kiwoom,우익수,5,16.2,-0.2,-2.23
52,이승원,kiwoom,유격수,18,96.0,-0.201,-2.24
53,장재영,kiwoom,중견수,17,126.1,-0.226,-2.53
54,임지열,kiwoom,우익수,9,66.0,-0.267,-2.98
55,최주환,kiwoom,1루수,109,915.1,-0.271,-3.03
56,이원석,kiwoom,1루수,12,87.0,-0.301,-3.36
57,원성준,kiwoom,중견수,10,65.0,-0.314,-3.5
58,송성문,kiwoom,1루수,31,147.0,-0.384,-4.29
59,이재상,kiwoom,유격수,35,221.0,-0.553,-6.17
60,고영우,kiwoom,3루수,65,442.2,-0.555,-6.19
72,김재웅,kiwoom,투수,26,23.2,nan,nan
72,김연주,kiwoom,투수,28,25.1,nan,nan
72,주승우,kiwoom,투수,50,47.2,nan,nan
72,윤정현,kiwoom,투수,2,3.0,nan,nan
72,김윤하,kiwoom,투수,17,66.0,nan,nan
72,김주형,kiwoom,3루수,1,1.0,nan,nan
72,김병휘,kiwoom,3루수,1,2.0,nan,nan
72,문성현,kiwoom,투수,41,38.1,nan,nan
72,양지율,kiwoom,투수,17,16.0,nan,nan
72,신준우,kiwoom,유격수,1,1.0,nan,nan
72,김선기,kiwoom,투수,33,69.1,nan,nan
