순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,구자욱,삼성,0.303,46,90,99,0.91,8,0.60,3.84,0.248,67.8,0.306
2,맥키넌,삼성,0.294,17,55,107,0.51,3,1.18,3.71,0.092,41.5,0.268
3,강민호,삼성,0.293,16,71,66,1.08,4,0.84,3.41,0.142,37.9,0.277
4,김지찬,삼성,0.291,12,102,74,1.38,3,1.40,3.69,0.064,45.8,0.261
5,김헌곤,삼성,0.287,14,42,44,0.95,2,0.39,4.27,0.183,25.2,0.272
6,이재현,삼성,0.282,21,43,67,0.64,2,0.64,4.29,0.174,36.5,0.279
7,류지혁,삼성,0.277,7,52,32,1.63,3,0.41,3.95,0.062,23.1,0.245
8,이병헌,삼성,0.273,5,18,19,0.95,0,0.34,4.04,0.071,13.4,0.249
9,윤정빈,삼성,0.271,5,14,16,0.88,2,0.32,4.13,0.157,11.3,0.265
10,김태훈,삼성,0.267,1,5,4,1.25,1,0.00,3.44,0.067,1.2,0.224
11,김영웅,삼성,0.260,31,58,74,0.78,6,0.35,3.85,0.221,52.8,0.271
12,이성규,삼성,0.252,21,33,55,0.60,4,0.28,3.88,0.248,37.2,0.278
13,김재상,삼성,0.238,6,26,16,1.63,0,0.22,3.60,0.119,9.6,0.214
14,김성윤,삼성,0.222,2,24,12,2.00,1,0.53,3.34,0.032,6.7,0.203
14,안주형,삼성,0.222,2,26,14,1.86,0,0.38,3.85,0.028,5.6,0.193
16,전병우,삼성,0.212,3,10,11,0.91,0,0.43,4.40,0.058,5.0,0.217
17,박병호,삼성,0.206,14,40,46,0.87,3,0.46,4.23,0.153,26.9,0.245
18,김재성,삼성,0.200,1,7,4,1.75,0,0.60,4.00,0.050,1.4,0.199
19,김동엽,삼성,0.182,1,3,2,1.50,0,0.20,3.57,0.091,1.3,0.197
20,김재혁,삼성,0.159,3,11,9,1.22,2,0.16,4.04,0.091,1.7,0.154
21,김현준,삼성,0.154,7,25,18,1.39,1,0.24,3.97,0.103,3.7,0.166
21,이창용,삼성,0.154,0,5,5,1.00,0,0.00,3.54,0.000,0.0,0.108
23,김동진,삼성,0.125,1,13,8,1.63,0,0.43,3.14,0.094,1.1,0.145
24,강한울,삼성,0.095,0,8,6,1.33,0,0.00,3.80,0.000,-0.6,0.065
25,김호진,삼성,0.080,0,6,8,0.75,0,0.10,3.25,0.000,-0.5,0.084
26,공민규,삼성,0.077,1,1,3,0.33,0,0.13,4.19,0.231,0.9,0.19
27,김대우,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
27,김재윤,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
27,김태훈,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
27,류승민,삼성,0.000,0,0,0,-,0,2.00,5.67,0.000,0.6,0.3
27,양우현,삼성,0.000,0,4,2,2.00,0,0.20,3.77,0.000,-1.0,0.037
27,오승환,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
27,육선엽,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
27,이상민,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
27,최지광,삼성,-,0,0,0,-,0,-,-,-,0.0,0.0
