순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,장성우,KT,포수,79,579.1,1.118,12.06
2,김상수,KT,유격수,73,555.2,0.76,8.2
3,문상철,KT,1루수,54,412.2,0.759,8.19
4,오윤석,KT,2루수,44,294.0,0.469,5.07
5,로하스,KT,좌익수,67,473.1,0.448,4.84
6,신본기,KT,유격수,42,197.1,0.38,4.1
7,정준영,KT,우익수,28,143.1,0.284,3.07
8,조용호,KT,우익수,45,271.0,0.199,2.15
9,김병준,KT,중견수,16,41.0,0.163,1.76
10,이호연,KT,3루수,10,42.0,0.142,1.53
11,로하스,KT,우익수,38,270.2,0.131,1.42
12,홍현빈,KT,좌익수,8,16.2,0.102,1.1
13,천성호,KT,3루수,3,11.0,0.082,0.89
13,장준원,KT,유격수,11,34.0,0.082,0.89
15,황재균,KT,3루수,93,740.0,0.064,0.69
16,심우준,KT,2루수,1,3.0,0.056,0.61
17,박민석,KT,2루수,2,6.0,0.053,0.57
18,안치영,KT,중견수,14,91.0,0.052,0.56
19,김준태,KT,포수,18,57.1,0.043,0.46
20,조대현,KT,포수,8,24.0,0.039,0.43
21,권동진,KT,2루수,4,15.1,0.035,0.38
22,정준영,KT,좌익수,6,14.0,0.022,0.23
23,장준원,KT,3루수,4,23.0,0.016,0.17
24,송민섭,KT,중견수,2,5.0,0.014,0.15
25,김상수,KT,2루수,7,46.2,0.013,0.14
26,로하스,KT,중견수,6,27.0,0.009,0.1
27,오윤석,KT,1루수,4,6.0,0.006,0.06
27,안치영,KT,좌익수,3,4.0,0.006,0.06
29,정준영,KT,중견수,2,7.0,0.003,0.04
30,문상철,KT,좌익수,1,2.0,0.001,0.01
31,이호연,KT,1루수,1,2.0,-0.001,-0.01
32,박병호,KT,1루수,32,227.1,-0.002,-0.02
33,윤준혁,KT,3루수,4,11.1,-0.027,-0.29
34,안치영,KT,우익수,13,30.0,-0.035,-0.37
35,오윤석,KT,3루수,7,22.0,-0.04,-0.43
36,박경수,KT,2루수,3,3.1,-0.041,-0.45
37,신본기,KT,3루수,5,9.0,-0.049,-0.53
38,김민혁,KT,우익수,6,18.1,-0.055,-0.6
39,김병준,KT,우익수,4,8.0,-0.056,-0.6
40,김건형,KT,우익수,12,66.0,-0.057,-0.61
41,심우준,KT,유격수,8,63.0,-0.066,-0.71
42,강현우,KT,포수,15,69.0,-0.075,-0.81
43,박민석,KT,유격수,4,7.1,-0.085,-0.91
44,권동진,KT,3루수,1,4.0,-0.094,-1.01
45,김민혁,KT,좌익수,38,255.2,-0.099,-1.07
46,안현민,KT,좌익수,8,40.0,-0.137,-1.48
47,홍현빈,KT,중견수,7,22.0,-0.144,-1.56
48,이호연,KT,2루수,7,14.0,-0.151,-1.63
49,강백호,KT,포수,21,132.2,-0.156,-1.69
50,강백호,KT,우익수,5,24.0,-0.165,-1.78
51,김민혁,KT,중견수,14,105.1,-0.191,-2.06
52,신본기,KT,2루수,22,76.2,-0.248,-2.67
53,홍현빈,KT,우익수,14,27.0,-0.262,-2.82
54,조용호,KT,좌익수,11,52.2,-0.448,-4.83
55,배정대,KT,중견수,66,564.0,-0.486,-5.25
56,오재일,KT,1루수,27,213.1,-0.873,-9.42
57,천성호,KT,2루수,55,403.1,-0.974,-10.52
71,손동현,KT,투수,29,32.1,nan,nan
71,송민섭,KT,우익수,3,4.0,nan,nan
71,강건,KT,투수,4,4.0,nan,nan
71,박시영,KT,투수,24,25.1,nan,nan
71,이선우,KT,투수,6,10.0,nan,nan
71,성재헌,KT,투수,23,26.1,nan,nan
71,김민,KT,투수,44,50.1,nan,nan
71,주권,KT,투수,35,44.1,nan,nan
71,황재균,KT,유격수,4,5.0,nan,nan
71,김병준,KT,좌익수,3,4.0,nan,nan
71,황재균,KT,1루수,1,1.0,nan,nan
71,우규민,KT,투수,26,26.2,nan,nan
71,박영현,KT,투수,43,50.2,nan,nan
