포지션,선수명
투수,김유영
투수,함덕주
투수,김대현
투수,정우영
투수,백승현
투수,에르난데스
투수,손주영
투수,엔스
투수,이종준
투수,김진성
투수,이지강
투수,유영찬
투수,임준형
투수,우강훈
포수,박동원
포수,허도환
포수,김범석
포수,이주헌
내야수,오지환
내야수,문보경
내야수,오스틴
내야수,김성진
내야수,신민재
내야수,김민수
내야수,구본혁
내야수,이영빈
외야수,박해민
외야수,김현수
외야수,최원영
외야수,홍창기
외야수,최승민
외야수,김현종
외야수,문성주
