포지션,선수명
투수,한현희
투수,정우준
투수,김진욱
투수,박세웅
투수,구승민
투수,김상수
투수,진승현
투수,반즈
투수,이민석
투수,김원중
투수,정현수
투수,나균안
투수,윌커슨
투수,박준우
투수,송재영
포수,강승구
포수,정보근
포수,서동욱
내야수,신윤후
내야수,손호영
내야수,나승엽
내야수,노진혁
내야수,박승욱
내야수,오선진
내야수,고승민
내야수,정훈
외야수,황성빈
외야수,장두성
외야수,레이예스
외야수,이정훈
외야수,이인한
외야수,전준우
외야수,윤동희
