순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,황성빈,롯데,109,54,46,8,85.2,3,4
2,장두성,롯데,56,13,11,2,84.6,1,0
3,손호영,롯데,83,11,7,4,63.6,1,2
3,윤동희,롯데,122,13,7,6,53.8,6,0
5,레이예스,롯데,125,5,5,0,100,4,1
6,고승민,롯데,101,6,4,2,66.7,5,0
6,박승욱,롯데,120,8,4,4,50.0,7,0
8,김동혁,롯데,32,4,3,1,75.0,0,2
8,전준우,롯데,90,4,3,1,75.0,1,1
10,김민석,롯데,39,3,2,1,66.7,0,0
11,나승엽,롯데,102,1,1,0,100,3,0
11,정훈,롯데,93,2,1,1,50.0,2,1
11,추재현,롯데,2,1,1,0,100,0,0
14,강성우,롯데,2,1,0,1,0.0,0,0
14,김강현,롯데,2,0,0,0,-,0,0
14,김민성,롯데,35,1,0,1,0.0,0,0
14,김상수,롯데,1,0,0,0,-,0,0
14,김원중,롯데,1,0,0,0,-,0,0
14,노진혁,롯데,63,0,0,0,-,0,0
14,백두산,롯데,1,0,0,0,-,0,0
14,서동욱,롯데,17,0,0,0,-,0,0
14,손성빈,롯데,79,0,0,0,-,2,0
14,신윤후,롯데,24,0,0,0,-,1,1
14,오선진,롯데,22,0,0,0,-,0,0
14,유강남,롯데,52,0,0,0,-,2,0
14,이선우,롯데,7,0,0,0,-,0,0
14,이정훈,롯데,49,0,0,0,-,1,0
14,이주찬,롯데,15,0,0,0,-,0,0
14,이학주,롯데,43,1,0,1,0.0,2,0
14,이호준,롯데,9,0,0,0,-,0,0
14,정대선,롯데,3,0,0,0,-,0,0
14,정보근,롯데,78,0,0,0,-,0,0
14,최항,롯데,72,1,0,1,0.0,1,1
14,한동희,롯데,14,0,0,0,-,1,0
14,현도훈,롯데,2,0,0,0,-,0,0
