순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,유강남,lotte,포수,50,324.2,0.564,6.06
2,신윤후,lotte,우익수,12,60.0,0.441,4.74
3,최항,lotte,2루수,38,207.1,0.431,4.63
4,황성빈,lotte,좌익수,30,135.0,0.421,4.53
5,박승욱,lotte,유격수,66,478.0,0.227,2.44
6,손성빈,lotte,포수,51,255.0,0.216,2.32
7,김동혁,lotte,중견수,19,42.0,0.2,2.15
8,노진혁,lotte,3루수,14,81.0,0.156,1.68
9,고승민,lotte,2루수,56,440.1,0.119,1.28
10,정보근,lotte,포수,51,232.1,0.113,1.22
11,윤동희,lotte,중견수,51,404.0,0.078,0.84
11,정대선,lotte,2루수,2,4.0,0.078,0.83
13,김민석,lotte,좌익수,19,122.0,0.063,0.68
14,이주찬,lotte,유격수,3,5.0,0.062,0.67
15,오선진,lotte,3루수,14,41.2,0.061,0.66
16,김민성,lotte,2루수,3,12.0,0.055,0.59
17,손호영,lotte,2루수,18,108.1,0.047,0.51
18,장두성,lotte,우익수,9,14.2,0.039,0.42
19,황성빈,lotte,우익수,2,4.0,0.036,0.38
20,오선진,lotte,유격수,1,2.0,0.03,0.32
21,고승민,lotte,우익수,6,31.0,0.025,0.27
22,레이예스,lotte,중견수,1,2.0,0.02,0.22
23,장두성,lotte,중견수,9,29.0,0.019,0.21
24,박승욱,lotte,2루수,18,54.0,0.013,0.14
25,오선진,lotte,2루수,4,17.0,0.007,0.08
26,이학주,lotte,3루수,3,5.2,0.001,0.01
26,고승민,lotte,좌익수,13,86.0,0.001,0.01
28,정훈,lotte,좌익수,1,2.0,-0.001,-0.01
29,최항,lotte,3루수,10,45.0,-0.007,-0.08
29,김민성,lotte,3루수,29,162.1,-0.007,-0.08
31,정훈,lotte,2루수,2,3.0,-0.009,-0.1
32,김동혁,lotte,우익수,4,7.2,-0.012,-0.12
33,이정훈,lotte,좌익수,1,2.0,-0.014,-0.15
34,이호준,lotte,2루수,1,2.0,-0.026,-0.28
35,고승민,lotte,1루수,5,11.0,-0.052,-0.56
36,장두성,lotte,좌익수,5,15.0,-0.053,-0.57
37,최항,lotte,1루수,10,21.1,-0.056,-0.61
38,서동욱,lotte,포수,11,35.0,-0.064,-0.69
39,노진혁,lotte,유격수,17,83.2,-0.065,-0.69
40,김민석,lotte,중견수,3,23.1,-0.075,-0.81
41,정훈,lotte,3루수,13,70.1,-0.079,-0.85
42,노진혁,lotte,1루수,5,20.0,-0.172,-1.85
43,레이예스,lotte,우익수,47,380.2,-0.266,-2.87
44,손호영,lotte,유격수,6,39.0,-0.27,-2.91
45,한동희,lotte,3루수,6,32.1,-0.297,-3.2
46,레이예스,lotte,좌익수,36,277.2,-0.3,-3.23
47,정훈,lotte,1루수,31,240.0,-0.343,-3.69
48,박승욱,lotte,3루수,27,123.2,-0.347,-3.74
49,전준우,lotte,좌익수,25,205.1,-0.354,-3.81
50,손호영,lotte,3루수,33,239.2,-0.456,-4.9
51,윤동희,lotte,우익수,44,350.0,-0.489,-5.26
52,이학주,lotte,유격수,40,238.1,-0.516,-5.55
53,이주찬,lotte,3루수,10,46.1,-0.535,-5.75
54,황성빈,lotte,중견수,48,344.0,-0.628,-6.76
55,나승엽,lotte,1루수,68,555.2,-1.296,-13.94
63,이호준,lotte,유격수,1,1.0,nan,nan
63,김원중,lotte,투수,36,40.1,nan,nan
63,강성우,lotte,유격수,1,1.0,nan,nan
63,신윤후,lotte,중견수,1,1.0,nan,nan
63,추재현,lotte,좌익수,2,3.0,nan,nan
63,이정훈,lotte,포수,1,1.0,nan,nan
63,이선우,lotte,중견수,2,2.2,nan,nan
