순위,선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율
1,강성우,롯데,0.500,2,3,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0.500,0.500,1.000,0,0.0,0.0
2,레이예스,롯데,0.350,105,457,417,64,146,29,2,11,212,82,0,7,32,1,1,62,11,0.508,0.392,0.900,43,0.407,0.0
3,손호영,롯데,0.332,63,254,235,43,78,17,2,11,132,49,1,1,12,1,5,41,3,0.562,0.375,0.937,25,0.361,0.0
4,황성빈,롯데,0.321,90,281,252,73,81,7,5,4,110,21,5,1,21,0,2,36,2,0.437,0.377,0.814,24,0.289,0.4
5,이정훈,롯데,0.309,44,95,81,10,25,7,0,0,32,17,1,2,11,1,0,18,3,0.395,0.383,0.778,4,0.367,0.25
6,나승엽,롯데,0.308,82,333,279,43,86,23,4,5,132,45,1,4,46,0,3,58,2,0.473,0.407,0.880,22,0.341,0.333
7,고승민,롯데,0.306,81,356,320,54,98,19,3,9,150,58,0,5,30,0,1,55,7,0.469,0.362,0.831,26,0.36,1.0
8,윤동희,롯데,0.293,102,447,389,76,114,26,3,9,173,58,2,5,49,0,2,79,7,0.445,0.371,0.816,31,0.32,0.333
9,전준우,롯데,0.291,70,312,278,35,81,18,1,11,134,55,1,3,27,0,3,51,8,0.482,0.357,0.839,24,0.247,0.0
10,정훈,롯데,0.265,75,251,219,26,58,15,0,9,100,38,1,3,28,0,0,43,2,0.457,0.344,0.801,16,0.282,0.083
11,이학주,롯데,0.263,43,105,95,13,25,2,2,2,37,4,2,0,6,0,2,44,0,0.389,0.320,0.709,6,0.15,0.0
12,한동희,롯데,0.257,14,36,35,1,9,2,0,0,11,3,0,0,1,1,0,9,1,0.314,0.278,0.592,1,0.182,0.333
13,박승욱,롯데,0.255,103,337,290,39,74,16,1,5,107,39,2,3,34,2,8,90,5,0.369,0.346,0.715,18,0.247,0.0
14,최항,롯데,0.250,71,143,132,17,33,3,1,0,38,12,0,0,10,0,1,32,3,0.288,0.308,0.596,7,0.239,0.286
15,정보근,롯데,0.212,60,105,99,6,21,0,1,2,29,5,4,0,2,0,0,25,5,0.293,0.228,0.521,2,0.19,0.0
16,김민석,롯데,0.211,36,82,76,11,16,3,1,0,21,6,1,0,2,0,3,20,4,0.276,0.259,0.535,2,0.286,0.125
17,손성빈,롯데,0.209,60,121,110,18,23,4,2,5,46,16,0,1,9,0,1,26,3,0.418,0.273,0.691,4,0.2,0.0
18,장두성,롯데,0.208,41,29,24,14,5,0,0,0,5,1,0,0,3,0,2,6,1,0.208,0.345,0.553,0,0.2,0.0
19,노진혁,롯데,0.205,48,103,88,8,18,3,0,1,24,10,1,2,11,1,1,23,1,0.273,0.294,0.567,2,0.2,0.3
20,김동혁,롯데,0.200,31,17,15,6,3,0,1,0,5,1,0,0,2,0,0,5,0,0.333,0.294,0.627,0,0.333,0.0
20,김민성,롯데,0.200,35,84,70,6,14,5,0,2,25,8,0,1,10,0,3,18,1,0.357,0.321,0.678,1,0.2,0.429
22,유강남,롯데,0.191,52,155,136,11,26,3,0,5,44,20,2,1,9,0,7,25,4,0.324,0.275,0.599,5,0.234,0.0
23,오선진,롯데,0.188,18,23,16,0,3,1,0,0,4,0,3,0,2,0,2,7,0,0.250,0.350,0.600,0,0.2,0.0
24,이주찬,롯데,0.174,14,24,23,6,4,1,0,1,8,2,0,0,1,0,0,9,1,0.348,0.208,0.556,0,0.25,0.5
25,서동욱,롯데,0.143,12,15,14,1,2,1,0,0,3,0,0,0,0,0,1,4,0,0.214,0.200,0.414,0,0.0,1.0
25,신윤후,롯데,0.143,17,25,21,3,3,0,0,0,3,1,1,0,1,0,2,3,1,0.143,0.250,0.393,0,0.2,0.0
27,김강현,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,김상수,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,김원중,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,백두산,롯데,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0
27,이선우,롯데,-,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,이호준,롯데,-,3,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,-,1.000,1.000,0,0.0,0.0
27,정대선,롯데,0.000,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.0,0.0
27,추재현,롯데,-,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
27,현도훈,롯데,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
