순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,이재현,samsung,유격수,92,749.1,1.923,21.31
2,김지찬,samsung,중견수,106,777.0,1.305,14.45
3,강민호,samsung,포수,111,746.1,1.057,11.71
4,김영웅,samsung,유격수,38,304.2,1.004,11.13
5,김현준,samsung,우익수,34,204.1,0.638,7.07
6,이성규,samsung,우익수,45,260.1,0.627,6.95
7,전병우,samsung,3루수,35,199.1,0.392,4.34
8,강한울,samsung,3루수,9,41.0,0.325,3.6
9,디아즈,samsung,1루수,7,59.0,0.315,3.49
10,김동진,samsung,2루수,23,91.0,0.311,3.44
11,맥키넌,samsung,1루수,50,423.1,0.297,3.29
12,김재혁,samsung,좌익수,5,23.0,0.274,3.04
13,김영웅,samsung,3루수,78,576.1,0.264,2.92
14,김호진,samsung,3루수,12,47.0,0.219,2.43
15,김태훈,samsung,우익수,4,20.0,0.196,2.17
16,김성윤,samsung,우익수,9,59.1,0.168,1.86
17,양우현,samsung,2루수,4,31.0,0.138,1.53
18,김재상,samsung,2루수,32,205.1,0.137,1.52
19,안주형,samsung,3루수,2,3.0,0.124,1.38
20,이병헌,samsung,포수,77,352.1,0.123,1.36
21,윤정빈,samsung,우익수,37,238.1,0.088,0.97
22,류승민,samsung,우익수,4,7.0,0.087,0.96
23,이성규,samsung,좌익수,7,30.0,0.086,0.95
24,김영웅,samsung,2루수,7,35.0,0.075,0.84
25,전병우,samsung,1루수,3,18.0,0.066,0.73
26,윤정빈,samsung,1루수,6,29.0,0.06,0.67
27,김헌곤,samsung,우익수,41,252.1,0.059,0.65
28,김재혁,samsung,1루수,4,31.0,0.05,0.56
29,김현준,samsung,중견수,25,106.1,0.044,0.49
29,이창용,samsung,1루수,3,22.0,0.044,0.48
31,김성윤,samsung,중견수,21,83.1,0.039,0.43
32,김재상,samsung,3루수,2,3.0,0.03,0.33
33,구자욱,samsung,우익수,4,37.1,0.017,0.18
34,공민규,samsung,1루수,2,5.0,0.016,0.17
35,김민수,samsung,포수,1,2.0,0.003,0.03
36,김호진,samsung,2루수,1,2.0,0.002,0.02
37,카데나스,samsung,좌익수,1,1.0,-0.001,-0.01
38,김헌곤,samsung,좌익수,57,286.0,-0.008,-0.09
39,양도근,samsung,유격수,1,9.0,-0.015,-0.17
40,윤정빈,samsung,좌익수,7,31.2,-0.017,-0.19
41,김재혁,samsung,중견수,6,18.0,-0.018,-0.2
42,박병호,samsung,1루수,26,213.2,-0.02,-0.22
43,김도환,samsung,포수,1,6.0,-0.031,-0.34
44,김동진,samsung,3루수,6,25.0,-0.037,-0.41
45,김재성,samsung,1루수,1,5.0,-0.038,-0.42
46,류지혁,samsung,2루수,64,404.0,-0.053,-0.59
46,김재성,samsung,포수,7,29.0,-0.053,-0.59
48,김지찬,samsung,2루수,10,14.0,-0.055,-0.61
49,류지혁,samsung,3루수,26,167.1,-0.061,-0.67
50,김호진,samsung,유격수,8,23.0,-0.062,-0.69
51,류지혁,samsung,1루수,13,44.2,-0.078,-0.87
52,김태훈,samsung,좌익수,3,11.2,-0.084,-0.93
53,구자욱,samsung,좌익수,86,695.0,-0.103,-1.14
54,오재일,samsung,1루수,12,84.2,-0.106,-1.17
55,카데나스,samsung,우익수,5,33.2,-0.112,-1.24
56,공민규,samsung,3루수,9,33.0,-0.115,-1.27
57,이창용,samsung,3루수,1,4.0,-0.121,-1.34
58,김재혁,samsung,우익수,11,23.0,-0.122,-1.35
59,김현준,samsung,좌익수,8,49.1,-0.126,-1.39
59,이성규,samsung,1루수,37,198.1,-0.126,-1.39
61,안주형,samsung,유격수,11,45.2,-0.145,-1.6
62,김헌곤,samsung,중견수,5,16.0,-0.173,-1.92
63,이성규,samsung,중견수,24,135.0,-0.2,-2.21
64,김성윤,samsung,좌익수,1,8.0,-0.212,-2.34
65,맥키넌,samsung,3루수,6,36.2,-0.234,-2.59
66,강한울,samsung,2루수,8,25.0,-0.248,-2.75
67,안주형,samsung,2루수,64,328.1,-0.357,-3.96
80,김태훈,samsung,투수,45,43.0,nan,nan
80,강한울,samsung,유격수,3,3.0,nan,nan
80,오승환,samsung,투수,52,50.0,nan,nan
80,김재상,samsung,유격수,1,1.0,nan,nan
80,김호진,samsung,1루수,1,1.0,nan,nan
80,김재윤,samsung,투수,58,60.2,nan,nan
80,최지광,samsung,투수,31,34.2,nan,nan
80,이상민,samsung,투수,25,23.0,nan,nan
80,김대우,samsung,투수,27,32.0,nan,nan
80,카데나스,samsung,중견수,1,0.0,nan,nan
80,육선엽,samsung,투수,5,7.2,nan,nan
80,강한울,samsung,1루수,1,1.0,nan,nan
