순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,이재현,samsung,유격수,105,847.1,2.309,26.06
2,강민호,samsung,포수,120,803.0,1.18,13.32
3,김영웅,samsung,유격수,38,304.2,0.99,11.17
4,김지찬,samsung,중견수,117,859.0,0.882,9.95
5,이성규,samsung,우익수,51,294.1,0.697,7.87
6,김현준,samsung,우익수,39,215.1,0.635,7.17
7,전병우,samsung,3루수,47,264.1,0.503,5.68
8,디아즈,samsung,1루수,17,142.0,0.375,4.23
9,강한울,samsung,3루수,9,41.0,0.317,3.58
10,김동진,samsung,2루수,23,91.0,0.297,3.36
11,김재혁,samsung,좌익수,5,23.0,0.273,3.08
12,윤정빈,samsung,우익수,47,275.1,0.27,3.04
13,맥키넌,samsung,1루수,50,423.1,0.222,2.51
14,김호진,samsung,3루수,12,47.0,0.212,2.4
15,김태훈,samsung,우익수,4,20.0,0.192,2.16
16,이병헌,samsung,포수,88,403.2,0.19,2.15
17,김성윤,samsung,우익수,11,63.1,0.159,1.79
18,양우현,samsung,2루수,5,32.0,0.157,1.77
19,김영웅,samsung,3루수,85,624.1,0.15,1.69
20,양도근,samsung,유격수,8,29.0,0.133,1.51
21,안주형,samsung,3루수,2,3.0,0.122,1.38
22,김재상,samsung,2루수,32,205.1,0.114,1.29
23,류승민,samsung,우익수,4,7.0,0.085,0.96
23,이창용,samsung,1루수,5,34.0,0.085,0.96
25,김헌곤,samsung,좌익수,64,301.0,0.073,0.82
26,전병우,samsung,1루수,3,18.0,0.061,0.69
27,윤정빈,samsung,1루수,7,31.0,0.056,0.63
28,김영웅,samsung,2루수,7,35.0,0.052,0.58
29,김재혁,samsung,1루수,4,31.0,0.047,0.53
30,김헌곤,samsung,우익수,47,295.1,0.033,0.37
31,김재상,samsung,3루수,2,3.0,0.03,0.33
32,류지혁,samsung,3루수,28,179.1,0.023,0.26
33,구자욱,samsung,우익수,4,37.1,0.016,0.18
34,공민규,samsung,1루수,2,5.0,0.014,0.16
35,양우현,samsung,3루수,1,2.0,0.006,0.07
36,김민수,samsung,포수,8,23.0,0.003,0.03
37,김호진,samsung,2루수,1,2.0,0.002,0.02
38,카데나스,samsung,좌익수,1,1.0,-0.001,-0.01
39,윤정빈,samsung,좌익수,7,31.2,-0.014,-0.15
40,전병우,samsung,2루수,1,6.0,-0.017,-0.19
41,김성윤,samsung,중견수,22,90.1,-0.028,-0.31
42,김도환,samsung,포수,1,6.0,-0.031,-0.35
43,김재성,samsung,1루수,1,5.0,-0.038,-0.43
44,김동진,samsung,3루수,6,25.0,-0.039,-0.44
45,김지찬,samsung,2루수,10,14.0,-0.055,-0.62
46,김호진,samsung,유격수,8,23.0,-0.061,-0.69
47,박병호,samsung,1루수,30,242.2,-0.079,-0.89
48,김태훈,samsung,좌익수,3,11.2,-0.081,-0.92
49,류지혁,samsung,1루수,13,44.2,-0.082,-0.93
50,김재성,samsung,포수,7,29.0,-0.099,-1.12
51,양도근,samsung,2루수,9,46.0,-0.109,-1.23
51,카데나스,samsung,우익수,5,33.2,-0.109,-1.23
53,공민규,samsung,3루수,9,33.0,-0.114,-1.29
54,오재일,samsung,1루수,12,84.2,-0.118,-1.33
55,이창용,samsung,3루수,1,4.0,-0.119,-1.34
55,김현준,samsung,좌익수,9,50.1,-0.119,-1.34
57,김재혁,samsung,우익수,11,23.0,-0.12,-1.35
58,이성규,samsung,1루수,39,201.1,-0.121,-1.36
59,이성규,samsung,좌익수,9,41.0,-0.132,-1.49
60,김재혁,samsung,중견수,10,24.0,-0.141,-1.59
61,안주형,samsung,유격수,14,56.2,-0.142,-1.6
62,김현준,samsung,중견수,33,130.1,-0.162,-1.82
63,김헌곤,samsung,중견수,5,16.0,-0.17,-1.92
64,김성윤,samsung,좌익수,1,8.0,-0.204,-2.31
65,류지혁,samsung,2루수,72,452.0,-0.214,-2.41
66,맥키넌,samsung,3루수,6,36.2,-0.231,-2.61
67,강한울,samsung,2루수,8,25.0,-0.245,-2.77
68,이성규,samsung,중견수,27,145.0,-0.318,-3.59
69,구자욱,samsung,좌익수,99,797.0,-0.368,-4.15
70,안주형,samsung,2루수,71,356.1,-0.472,-5.32
84,김재상,samsung,유격수,1,1.0,nan,nan
84,김태훈,samsung,투수,54,50.2,nan,nan
84,김호진,samsung,1루수,1,1.0,nan,nan
84,양도근,samsung,3루수,1,2.0,nan,nan
84,강한울,samsung,유격수,3,3.0,nan,nan
84,오승환,samsung,투수,58,55.0,nan,nan
84,카데나스,samsung,중견수,1,0.0,nan,nan
84,이상민,samsung,투수,33,28.2,nan,nan
84,김대우,samsung,투수,30,34.1,nan,nan
84,육선엽,samsung,투수,10,16.0,nan,nan
84,김재윤,samsung,투수,63,65.0,nan,nan
84,최지광,samsung,투수,34,36.1,nan,nan
84,강한울,samsung,1루수,1,1.0,nan,nan
