포지션,선수명
투수,이재익
투수,이상민
투수,김대우
투수,원태인
투수,이승현
투수,오승환
투수,김태훈
투수,백정현
투수,육선엽
투수,최지광
투수,임창민
투수,코너
투수,황동재
투수,김재윤
투수,송은범
포수,김민수
포수,이병헌
포수,강민호
내야수,디아즈
내야수,안주형
내야수,김동진
내야수,전병우
내야수,김지찬
내야수,박병호
내야수,양우현
내야수,양도근
내야수,이재현
내야수,공민규
외야수,김태훈
외야수,윤정빈
외야수,김헌곤
외야수,김현준
외야수,구자욱
