포지션,선수명
투수,박성빈
투수,조병현
투수,서진용
투수,송영진
투수,김광현
투수,신헌민
투수,앤더슨
투수,한두솔
투수,노경은
투수,문승원
투수,박종훈
투수,정동윤
투수,엘리아스
투수,박시후
투수,최현석
포수,조형우
포수,신범수
포수,이지영
내야수,안상현
내야수,최정
내야수,고명준
내야수,박성한
내야수,김성현
내야수,박지환
내야수,정준재
외야수,하재훈
외야수,추신수
외야수,최상민
외야수,에레디아
외야수,한유섬
외야수,오태곤
외야수,최지훈
외야수,정현승
