순위,선수명,팀명,포지션,경기수,수비이닝,수비승리기여도,평균대비수비득점기여
1,이지영,SSG,포수,117,914.2,1.513,16.56
2,박성한,SSG,유격수,135,1115.0,1.059,11.59
3,정준재,SSG,2루수,57,384.2,0.358,3.92
4,김성현,SSG,3루수,18,100.1,0.257,2.81
5,최경모,SSG,2루수,20,72.2,0.202,2.21
6,최상민,SSG,중견수,14,26.0,0.16,1.75
7,김찬형,SSG,유격수,1,3.0,0.071,0.78
8,김민식,SSG,포수,40,264.2,0.064,0.7
9,정준재,SSG,3루수,18,85.2,0.063,0.69
10,강진성,SSG,1루수,2,9.0,0.057,0.62
11,최준우,SSG,3루수,4,6.0,0.054,0.59
12,정준재,SSG,유격수,3,5.2,0.052,0.56
13,김창평,SSG,우익수,1,4.0,0.041,0.45
14,에레디아,SSG,중견수,2,14.0,0.04,0.44
14,강진성,SSG,좌익수,1,3.0,0.04,0.43
16,오태곤,SSG,3루수,2,5.0,0.023,0.25
17,정현승,SSG,우익수,12,40.0,0.015,0.17
18,최정,SSG,3루수,121,954.2,0.013,0.14
19,추신수,SSG,우익수,6,35.0,0.009,0.1
20,정현승,SSG,좌익수,5,23.0,0.002,0.03
20,하재훈,SSG,중견수,24,160.0,0.002,0.02
22,문승원,SSG,투수,61,60.0,0.0,0.0
23,김찬형,SSG,2루수,2,11.0,-0.011,-0.12
24,안상현,SSG,3루수,3,9.0,-0.016,-0.17
25,최민창,SSG,우익수,3,4.0,-0.022,-0.24
26,박지환,SSG,2루수,54,406.2,-0.027,-0.3
27,오태곤,SSG,1루수,89,478.2,-0.032,-0.35
28,오태곤,SSG,좌익수,12,44.2,-0.064,-0.7
29,오태곤,SSG,중견수,14,56.0,-0.073,-0.8
30,안상현,SSG,유격수,3,8.0,-0.074,-0.81
31,김찬형,SSG,3루수,2,10.0,-0.077,-0.85
31,조형우,SSG,포수,19,90.1,-0.077,-0.85
33,최상민,SSG,우익수,20,32.2,-0.084,-0.92
34,최경모,SSG,유격수,9,20.0,-0.113,-1.23
35,정현승,SSG,중견수,4,23.0,-0.115,-1.26
36,최준우,SSG,2루수,10,47.0,-0.131,-1.43
37,안상현,SSG,2루수,28,176.0,-0.15,-1.64
38,최경모,SSG,3루수,19,60.0,-0.151,-1.65
39,오태곤,SSG,우익수,10,50.0,-0.16,-1.75
40,에레디아,SSG,좌익수,117,975.0,-0.161,-1.76
40,하재훈,SSG,좌익수,29,205.0,-0.161,-1.77
42,한유섬,SSG,좌익수,3,11.0,-0.182,-1.99
43,박지환,SSG,3루수,9,38.0,-0.226,-2.48
44,김성현,SSG,유격수,21,118.0,-0.275,-3.01
45,김성현,SSG,2루수,39,171.2,-0.289,-3.16
46,최지훈,SSG,중견수,119,989.2,-0.297,-3.25
47,고명준,SSG,1루수,92,667.0,-0.313,-3.42
48,전의산,SSG,1루수,22,114.0,-0.369,-4.04
49,한유섬,SSG,우익수,101,802.2,-0.85,-9.31
50,하재훈,SSG,우익수,47,301.1,-0.982,-10.75
60,박민호,SSG,투수,19,22.2,nan,nan
60,한두솔,SSG,투수,64,59.1,nan,nan
60,최민창,SSG,좌익수,2,3.0,nan,nan
60,최정,SSG,1루수,1,1.0,nan,nan
60,이로운,SSG,투수,58,56.0,nan,nan
60,최민창,SSG,중견수,1,1.0,nan,nan
60,조병현,SSG,투수,74,73.0,nan,nan
60,최상민,SSG,좌익수,4,5.0,nan,nan
60,고명준,SSG,3루수,1,1.0,nan,nan
