포지션,선수명
투수,임정호
투수,김태현
투수,요키시
투수,김시훈
투수,이준호
투수,임상현
투수,하트
투수,김재열
투수,류진욱
투수,이용준
투수,소이현
투수,이재학
투수,한재승
투수,배재환
투수,김민규
투수,최우석
투수,박주현
포수,박세혁
포수,김형준
포수,신용석
내야수,최정원
내야수,도태훈
내야수,박민우
내야수,데이비슨
내야수,김휘집
내야수,서호철
내야수,김한별
내야수,김주원
외야수,천재환
외야수,한석현
외야수,권희동
외야수,김성욱
외야수,김범준
